date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,college_cases,total_inmate_cases
2020-12-31,Marshall,Illinois,17123.0,578,9.0,0.048,0.083,0.133,0.198,0.538,,
2020-12-31,Mason,Illinois,17125.0,1026,38.0,0.238,0.031,0.292,0.126,0.313,,
2020-12-31,Massac,Illinois,17127.0,893,28.0,0.097,0.043,0.232,0.256,0.373,,
2020-12-31,McDonough,Illinois,17109.0,1978,46.0,0.041,0.091,0.097,0.182,0.59,360.0,
2020-12-31,McHenry,Illinois,17111.0,19128,217.0,0.03,0.012,0.066,0.176,0.716,,63.0
2020-12-31,McLean,Illinois,17113.0,11621,115.0,0.085,0.062,0.091,0.201,0.561,2701.0,7.0
2020-12-31,Menard,Illinois,17129.0,729,8.0,0.102,0.047,0.138,0.172,0.54,,
2020-12-31,Mercer,Illinois,17131.0,1069,24.0,0.039,0.066,0.11,0.215,0.571,,
2020-12-31,Monroe,Illinois,17133.0,3135,59.0,0.003,0.04,0.112,0.174,0.67,,
2020-12-31,Montgomery,Illinois,17135.0,2166,24.0,0.018,0.05,0.091,0.316,0.525,,710.0
2020-12-31,Morgan,Illinois,17137.0,3060,82.0,0.05,0.062,0.177,0.178,0.533,129.0,488.0
2020-12-31,Moultrie,Illinois,17139.0,1260,27.0,0.081,0.073,0.213,0.243,0.39,,
2020-12-31,Ogle,Illinois,17141.0,4102,65.0,0.053,0.045,0.129,0.184,0.589,,
2020-12-31,Peoria,Illinois,17143.0,13172,201.0,0.039,0.036,0.096,0.251,0.577,565.0,124.0
2020-12-31,Perry,Illinois,17145.0,2185,52.0,0.055,0.092,0.104,0.358,0.392,,870.0
2020-12-31,Piatt,Illinois,17147.0,1046,8.0,0.003,0.052,0.06,0.198,0.688,,
2020-12-31,Pike,Illinois,17149.0,1395,41.0,0.138,0.079,0.218,0.205,0.36,,
2020-12-31,Pope,Illinois,17151.0,196,1.0,0.104,0.054,0.213,0.214,0.415,,
2020-12-31,Pulaski,Illinois,17153.0,560,3.0,0.117,0.064,0.189,0.225,0.405,,112.0
2020-12-31,Putnam,Illinois,17155.0,319,0.0,0.021,0.025,0.168,0.251,0.535,,
2020-12-31,Randolph,Illinois,17157.0,3324,47.0,0.008,0.032,0.117,0.391,0.452,,256.0
2020-12-31,Richland,Illinois,17159.0,1309,37.0,0.111,0.151,0.107,0.3,0.331,,
2020-12-31,Rock Island,Illinois,17161.0,11014,259.0,0.078,0.025,0.066,0.235,0.596,260.0,395.0
